2026-06-29 13:43:32 | INFO     | workers.video_worker           | Worker stop requested
2026-06-29 13:43:32 | INFO     | services.video_service         | Video file released: C:\Users\jasme\Downloads\188613-883402208.mp4
2026-06-29 13:43:32 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:43:32 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:43:32 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:43:32 | INFO     | __main__                       | Application exited with code 0
2026-06-29 13:46:25 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:46:25 | INFO     | __main__                       | ============================================================
2026-06-29 13:46:25 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:46:25 | INFO     | __main__                       | ============================================================
2026-06-29 13:46:25 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:46:26 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:46:27 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:46:28 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:46:28 | INFO     | __main__                       | ============================================================
2026-06-29 13:46:28 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:46:28 | INFO     | __main__                       | ============================================================
2026-06-29 13:46:28 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:46:29 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:46:29 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:46:30 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:46:30 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:46:30 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:46:30 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:46:30 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:46:30 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:46:30 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:46:31 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:46:31 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:46:32 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:46:32 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:46:32 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:46:32 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:46:32 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:46:32 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:46:33 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:46:33 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:46:33 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:46:44 | INFO     | ui.dashboard                   | Starting webcam stream
2026-06-29 13:46:44 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.CAMERA
2026-06-29 13:46:44 | INFO     | services.camera_service        | Opening camera device 0 …
2026-06-29 13:46:44 | ERROR    | services.camera_service        | Failed to open camera device 0
2026-06-29 13:46:44 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:46:44 | ERROR    | ui.dashboard                   | Worker error: Could not open webcam.

Please check that a camera is connected and not in use by another application.
